path,spoken_language,signed_language,start,end,words,glosses,priority
ase/family.pose,en,ase,0,0,family,family,0
ase/book.pose,en,ase,0,0,book,book,0
ase/drink.pose,en,ase,0,0,drink,drink,0
ase/computer.pose,en,ase,0,0,computer,computer,0
ase/before.pose,en,ase,0,0,before,before,0
ase/chair.pose,en,ase,0,0,chair,chair,0
ase/go.pose,en,ase,0,0,go,go,0
ase/clothes.pose,en,ase,0,0,clothes,clothes,0
ase/who.pose,en,ase,0,0,who,who,0
ase/candy.pose,en,ase,0,0,candy,candy,0
ase/deaf.pose,en,ase,0,0,deaf,deaf,0
ase/fine.pose,en,ase,0,0,fine,fine,0
ase/help.pose,en,ase,0,0,help,help,0
ase/no.pose,en,ase,0,0,no,no,0
ase/thin.pose,en,ase,0,0,thin,thin,0
ase/walk.pose,en,ase,0,0,walk,walk,0
ase/year.pose,en,ase,0,0,year,year,0
ase/yes.pose,en,ase,0,0,yes,yes,0
ase/all.pose,en,ase,0,0,all,all,0
ase/black.pose,en,ase,0,0,black,black,0
ase/cool.pose,en,ase,0,0,cool,cool,0
ase/finish.pose,en,ase,0,0,finish,finish,0
ase/hot.pose,en,ase,0,0,hot,hot,0
ase/like.pose,en,ase,0,0,like,like,0
ase/many.pose,en,ase,0,0,many,many,0
ase/mother.pose,en,ase,0,0,mother,mother,0
ase/now.pose,en,ase,0,0,now,now,0
ase/orange.pose,en,ase,0,0,orange,orange,0
ase/table.pose,en,ase,0,0,table,table,0
ase/thanksgiving.pose,en,ase,0,0,thanksgiving,thanksgiving,0
ase/what.pose,en,ase,0,0,what,what,0
ase/woman.pose,en,ase,0,0,woman,woman,0
ase/bed.pose,en,ase,0,0,bed,bed,0
ase/blue.pose,en,ase,0,0,blue,blue,0
ase/bowling.pose,en,ase,0,0,bowling,bowling,0
ase/can.pose,en,ase,0,0,can,can,0
ase/dog.pose,en,ase,0,0,dog,dog,0
ase/fish.pose,en,ase,0,0,fish,fish,0
ase/graduate.pose,en,ase,0,0,graduate,graduate,0
ase/hat.pose,en,ase,0,0,hat,hat,0
ase/hearing.pose,en,ase,0,0,hearing,hearing,0
ase/kiss.pose,en,ase,0,0,kiss,kiss,0
ase/language.pose,en,ase,0,0,language,language,0
ase/later.pose,en,ase,0,0,later,later,0
ase/man.pose,en,ase,0,0,man,man,0
ase/shirt.pose,en,ase,0,0,shirt,shirt,0
ase/study.pose,en,ase,0,0,study,study,0
ase/tall.pose,en,ase,0,0,tall,tall,0
ase/white.pose,en,ase,0,0,white,white,0
ase/wrong.pose,en,ase,0,0,wrong,wrong,0
ase/accident.pose,en,ase,0,0,accident,accident,0
ase/apple.pose,en,ase,0,0,apple,apple,0
ase/bird.pose,en,ase,0,0,bird,bird,0
ase/change.pose,en,ase,0,0,change,change,0
ase/color.pose,en,ase,0,0,color,color,0
ase/corn.pose,en,ase,0,0,corn,corn,0
ase/cow.pose,en,ase,0,0,cow,cow,0
ase/dance.pose,en,ase,0,0,dance,dance,0
ase/dark.pose,en,ase,0,0,dark,dark,0
ase/doctor.pose,en,ase,0,0,doctor,doctor,0
ase/eat.pose,en,ase,0,0,eat,eat,0
ase/enjoy.pose,en,ase,0,0,enjoy,enjoy,0
ase/forget.pose,en,ase,0,0,forget,forget,0
